"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
"Ukrainian Village","Chicago","IL","Chicago-Naperville-Elgin","Cook County",291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484000,495000,499450,525000,534000,544000,525000,512450,512450,526950,499900,499450,462200,490000,520000,495000,475000,475000,474900,450000,467445
"Lauderdale West","Plantation","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149749.5,150000,150000,149999,149999,155000,159000,153885,153835,165000,166500,166500,175000,169900
"Over-The-Rhine","Cincinnati","OH","Cincinnati","Hamilton County",293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275000,295120,309900,300619.5,255000,259900,257000,259900,3e+05,317000,334900,340000,315000,309450,299450,299900,299900,299000,299950,3e+05,295000,289900,289900,279000,285000,279000,289000,299000,309450,289000
"South Semoran","Orlando","FL","Orlando-Kissimmee-Sanford","Orange County",294,35000,30000,31000,35000,39250,39250,39000,35000,35000,37450,34900,35000,35000,39000,39000,35000,35000,39500,39000,39000,39450,40000,44900,44900,40000,43900,43900,44900,45450,45700,49900,49900,49950,49900,48500,54900,55249.5,58900,59900,59900,53000,55500,52450,54900,59900,63700,59900,56900,55500,59445,59445,63000,64000,60000,64900,64900,64950,61000,62500,61450,64900,64995,62500,62000,65000,64900,64990,66250,67000,68269,68000,69400,68700,68800,69650,68769.5,65000,71000,72000,74900,74494,72900,75000,74950,75000,75000,74997.5,79000,80000,79900,79000,79950,83950,89000,85000,97400,98300,99995,1e+05,92000,93550,93600,99700,94499.5,101475,104900,103500
"Pearl District","Portland","OR","Portland-Vancouver-Hillsboro","Multnomah County",295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510000,490000,5e+05,509000,499500,519450,549000,577450,577000,544000,544000,539000,482000,499500,467000,465000,445000,459900,454475,465000,499900,497450,532000,549000,548000,538000,499500,520800,516600,516600,516950,537000,524900,525000,585000,599450,592000,566250,566250,550000,550000,564500,555000,559750,559750,552500,549900,582000,589925,589925,579000,545000,547500,535000,545000,550000,607474.5,599999
"Coral Ridge","Fort Lauderdale","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330000,374900,404500,384000,359900,354700,349500,336450,325000,299000,285000,289000,287000,282450,285000,277000,266450,259000,250000,250000,250000,237450,239900,252500,250000,229500,229000
"Union Station","Denver","CO","Denver-Aurora-Lakewood","Denver County",297,5e+05,490000,489000,465000,460000,450000,445000,460000,465000,459950,475000,465000,449900,482000,490000,422000,405000,399700,396000,437000,397950,407450,407450,429200,432450,432450,459000,473000,456950,479000,499000,475000,475000,499000,499500,499000,495900,495000,450000,515000,530000,522000,5e+05,507000,499000,496950,529000,529000,530000,530000,549450,5e+05,535000,499000,560000,575000,575000,575000,591950,599000,599000,599000,610000,622000,6e+05,577450,565000,574800,575000,560000,532500,539000,569500,617000,639950,640000,639000,635000,630000,599000,625000,634750,639000,637000,629000,625000,690000,699000,657000,619000,574950,599450,584500,579995,589000,637000,644000,650000,719900,745000,675000,675000,737500,749500,772500,772500,755000
"Coral Ridge Country Club","Fort Lauderdale","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",298,180000,159000,164500,164500,173500,189000,214490,189000,192950,199900,225000,199900,199000,199000,224900,209900,229000,229500,219999.5,199900,2e+05,199900,199000,199000,199000,184995,189000,199900,209900,204000,199000,227450,212000,184495,199700,212000,225000,229500,246000,246000,242449.5,249000,244999.5,247450,245000,252450,269499.5,269999,285000,275000,275000,269900,279950,299000,299900,324000,279950,285000,269900,267350,250000,250000,285000,295000,285000,270000,267000,279950,294900,297000,299900,297000,299900,281950,299900,309000,297400,299000,299000,294900,294900,277500,292000,298500,299000,292000,287450,290000,279900,284900,272450,285000,282500,282500,285000,281450,275000,273750,275000,269500,279000,269700,269700,265000,262250,275000,275000
"Pelican Bay","Naples","FL","Naples-Immokalee-Marco Island","Collier County",299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724000,749900,799900,799900,845000,862000,849450,850000,895000,895000,975000,854000,849000,814250,849900,849450,849900,854000,864000,950000,942000,899000,845000,867000,844500,869000,875000,850000,832450,850000,890000,840000,849900,839450,842450,849000,847000,839450,775000,834000,854000,839900,920000,894500,899000,895000,895000,819000,829000,809500,825000,882450,975000,975000,942450
"East Hyde Park","Chicago","IL","Chicago-Naperville-Elgin","Cook County",300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205000,202000,209000,229000,197000,180000,175000,186750,199000,188500,187500,185000,185000,179000,195000,199000,199000,227000,227000,199000,199900,199000
