"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Little Italy","New York","NY","New York-Newark-Jersey City","New York County",252,,,,,,,,,,,,3200,3047.5,3200,3000,3000,3000,3295,3372.5,3450,3495,3495,3495,3300,3395,3495,3495,3495,3395,3495,3495,3495,3495,3495,3495,3500,3650,3595,3495,3450,3437.5,3495,3495,3495,3500,3750,3600,3550,3600,3850,3695,3800,3700,3800,4000,3400,3495,3595,3595,3500,3495,3437.5,3485,3400,3395,3500,3600,3495,3595,3500,3500,3700,3595,3595,3400,3400,3595,3500,3595,3495,3595,3595,3600,3495,3395,3300,3395,3457,3400,3495,3495,3500,3595,3600,3400,3395,3381
"East Somerville","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1850,1800,1925,1872.5,1950,2050,2190,2200,2100,2190,2350,2300,2300,2100,2137.5,2500,2500,2500,2500,2495,2500,2500,2100,2100,2300,2300,2375,2425,2400,2250,2200,2450,2550,2750,2625,2400,2250,2300,2125,2200,2424,2777.5,2700,2537.5,2547.5,2500,2650,2500,2300,2300,2500,2600,2750,2975,2950,2800,2600,2500,2400
"Noble Square","Chicago","IL","Chicago-Naperville-Elgin","Cook County",254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1800,1875,2050,2100,2050,1995,2000,2095,1925,1950,1897.5,1900,1872.5,2100,2100,2100,2100,2000
"Mount Washington","Pittsburgh","PA","Pittsburgh","Allegheny County",255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,900,880,837.5,850,875,950,999,1150,1050,1050,1050,950,1100
"Spring Hill","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,2800,2700,2725,2575,2625,2500,2575,2450,2750,2800,2725,2962.5,2987.5,2850,2900,2750,2650,2550,2600,2550,2500,2550,2600,2900,3000,2850,2800,2900,2600,2550
"Isle of Normandy","Miami Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1525,1500,1524.5,1600,1550,1525,1550,1475,1450,1425,1450,1525,1550,1700,1750,1750,1775,1637.5,1650,1665,1600
"Chestnut Hill","Brookline","MA","Boston-Cambridge-Newton","Norfolk County",258,,,,,,,,,,,,,,,,,,1980,1980,1847.5,1850,1847.5,1885,1930,1980,2062.5,1920,2065,2095,2100,2110,2100,2005,2015,2045,2070,2105,2070,2097.5,2140,2100,2150,2185,2240,2200,2240,2275,2200,2230,2255,2255,2255,2250,2310,2335,2330,2330,2430,2430,2350,2362.5,2372.5,2340,2370,2335,2340,2335,2335,2380,2340,2535,2420,2430,2455,2390,2510,2525,2795,2695,2790,2995,2730,2600,2730,2700,2740,2700,2745,2730,2700,2800,2500,2420,2680,2690,2700,2710
"Cobble Hill","New York","NY","New York-Newark-Jersey City","Kings County",259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,2937.5,2787.5,2625,2725,2995,2840,3100,3100,2900,2900,2700,2725,2700,2725,2795,2900,3000,3176,2800,3000,2850
"Chinatown","Boston","MA","Boston-Cambridge-Newton","Suffolk County",260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2695,2850,3300,3300,3342.5,3000,3020,3149,3082.5,2995,2900,2900,2695,2795,2795,3000,2785,3000,2910,3132,3400,3300,3259.5,3250,3245
"Edgeworth","Malden","MA","Boston-Cambridge-Newton","Middlesex County",261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795,1900,1825,1825,2000,2000,1900,1900,1797.5,1800,1625,1600,1725,1725,1800,1995,2245,2000,2050
"West Woodlawn","Chicago","IL","Chicago-Naperville-Elgin","Cook County",262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1087.5,1150,1150,1100,1150,1150,1150,1125,1095,1100,1100,1150,1128,1128,1200,1250,1216,1200,1200,1162.5,1150,1150
"East Ukrainian Village","Chicago","IL","Chicago-Naperville-Elgin","Cook County",263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1915,1872.5,1915,1895,1895,1895,1910,1900,2000,2100,2200,2025,1975,1895,1895,1895,1895,1895,1895,1895,1975,2100,2172.5,2200,2300,2075,1895,1947.5
"Old Town Triangle","Chicago","IL","Chicago-Naperville-Elgin","Cook County",264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,1800,1950,1950,1945,2000,2200,2004,1950,1950,2014,2015,1995,2025,2025,2089,2282.5,2062.5,2100,1965,2000,2025
"Old City","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1795,1850,1935,1870,1895,1870,1695,1660,1795,1749.5,1795,1767,1599,1650,1850,1899,1899,1795,1717,1750
"Wellington-Harrington","Cambridge","MA","Boston-Cambridge-Newton","Middlesex County",266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2500,2500,2500,2800,3000,2800,2750,2650,2600,2550,2450,2595,2500,2497.5,2650,3000,3050,2825,3000,3137.5,2900,2800,2800
